,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
164,2021-04-27 11:06:07,35-44,Media & Digital,Self-employed writer,,45000,20000.0,USD,,"I'm a freelancer, I pay myself a salary and take disbursements on top of that.",USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White,65000.0,11
165,2021-04-27 11:06:07,25-34,Nonprofits,Director of Development,,92000,0.0,USD,,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White,92000.0,5
167,2021-04-27 11:06:07,25-34,Engineering or Manufacturing,Production Technician,,65000,4000.0,USD,,,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White,69000.0,2
168,2021-04-27 11:06:08,35-44,"Marketing, Advertising & PR",Graphic Designer,"Digital ads, some video editing",35000,0.0,USD,,,United States of America,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White,35000.0,11
169,2021-04-27 11:06:12,25-34,"Accounting, Banking & Finance",Compliance Officer,Compliance offer in financial planning services,74000,1000.0,USD,,,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White,75000.0,5
170,2021-04-27 11:06:12,25-34,Engineering or Manufacturing,Director of Intelligence,,102500,20000.0,USD,,,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",122500.0,5
171,2021-04-27 11:06:12,25-34,Government and Public Administration,Program Analyst,Specializing in training & communications,117500,1500.0,USD,,,USA,,Washington DC,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,"Hispanic, Latino, or Spanish origin",119000.0,5
172,2021-04-27 11:06:12,35-44,Nonprofits,Coordinator of Survivor Services,Coordinator of outpatient trauma services (community mental health),70000,0.0,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,70000.0,11
173,2021-04-27 11:06:13,45-54,Computing or Tech,Software Development Manager,,140000,5000.0,USD,,,USA,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White,145000.0,11
175,2021-04-27 11:06:15,35-44,"Marketing, Advertising & PR",Brand Consultant,,400000,0.0,USD,,,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White,400000.0,11
176,2021-04-27 11:06:15,35-44,Nonprofits,HR director,"I am also a social worker and do some counseling as part of my role, but it's mostly HR",61200,0.0,USD,,,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White,61200.0,11
177,2021-04-27 11:06:15,25-34,"Marketing, Advertising & PR",Marketing Director,,85000,10000.0,GBP,,,United Kingdom,,London,8 - 10 years,8 - 10 years,College degree,Woman,White,132100.3963011889,8
179,2021-04-27 11:06:17,35-44,Computing or Tech,technical support specialist,"I'm at a small start up, so I am a support agent/manager/QA person",70000,0.0,USD,,,USA,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American,70000.0,5
180,2021-04-27 11:06:17,25-34,Education (Higher Education),Communications Specialist,,52000,0.0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White,52000.0,5
182,2021-04-27 11:06:18,25-34,"Marketing, Advertising & PR",Content Strategist and Writer,,57000,0.0,USD,,,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White,57000.0,2
183,2021-04-27 11:06:20,25-34,Nonprofits,Associate,,83200,0.0,USD,,,USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White,83200.0,8
184,2021-04-27 11:06:22,18-24,"Marketing, Advertising & PR","Manager, Planning",Work at a media/advertising agency,77500,0.0,USD,,,United States,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White",77500.0,2
186,2021-04-27 11:06:23,25-34,Health care,Midwife,NHS midwife in UK,31000,1000.0,GBP,,,UK,,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White,44496.97559618995,1
187,2021-04-27 11:06:24,35-44,"Marketing, Advertising & PR",Associate Creative Director,,215000,10000.0,USD,,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,225000.0,11
189,2021-04-27 11:06:25,45-54,Law,Senior Corporate Counsel,,220000,0.0,USD,,,US,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American,220000.0,11
191,2021-04-27 11:06:27,25-34,Computing or Tech,Systems Analyst,,80000,0.0,USD,,,United States of America,,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White,80000.0,2
193,2021-04-27 11:06:28,25-34,Education (Higher Education),Librarian,,52500,0.0,USD,,,U.S.,North Carolina,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White,52500.0,5
194,2021-04-27 11:06:31,25-34,Media & Digital,UX designer,,36000,0.0,EUR,,,France,,Lyon,2 - 4 years,2 - 4 years,Master's degree,Woman,White,43522.1509614164,2
195,2021-04-27 11:06:31,25-34,"Accounting, Banking & Finance",Lead business controls specialist,,94000,0.0,USD,,,Usa,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White,94000.0,2
196,2021-04-27 11:06:34,25-34,Engineering or Manufacturing,Product Engineer,,57000,0.0,USD,,,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White,57000.0,5
197,2021-04-27 11:06:35,35-44,Computing or Tech,Senior Technical Writer,,83000,8000.0,USD,,,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White,91000.0,5
198,2021-04-27 11:06:35,35-44,Nonprofits,Senior Director,Senior consultant and team lead at a firm serving nonprofits,90000,0.0,USD,,,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White,90000.0,11
200,2021-04-27 11:06:36,25-34,Government and Public Administration,Planner,,76000,0.0,USD,,,USA,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,76000.0,2
201,2021-04-27 11:06:37,25-34,Engineering or Manufacturing,Principal Engineer,Oil & Gas,52000,6000.0,GBP,,,UK,,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White,80650.76826809428,8
202,2021-04-27 11:06:39,25-34,Nonprofits,Information and Program Manager,I work in philanthropy for a private foundation,70000,5000.0,USD,,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman,White,75000.0,5
203,2021-04-27 11:06:40,25-34,Education (Higher Education),Assistant Professor,Humanities field,60000,2500.0,USD,,,USA,,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary,White,62500.0,2
204,2021-04-27 11:06:41,35-44,Engineering or Manufacturing,Media and PR,,80000,0.0,USD,,,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White,80000.0,11
205,2021-04-27 11:06:41,35-44,Nonprofits,Technical assistance provider,,70000,0.0,USD,,,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White,70000.0,11
206,2021-04-27 11:06:41,25-34,Education (Higher Education),Library Specialist,"I'm an hourly employee at a university library - my job does not require an MLS, but I do have one",34299,0.0,USD,,This is my regular income at my hourly rate of $16.49. My salary during the pandemic is slightly higher as I'm working partially in person and my area has enacted an $18/hr minimum hazard pay wage.,US,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White,34299.0,2
207,2021-04-27 11:06:43,25-34,Computing or Tech,Strategic Operations and Programme Manager,,90000,0.0,GBP,,,United Kingdom,,London,11 - 20 years,11 - 20 years,Master's degree,Woman,White,125147.74386428425,11
208,2021-04-27 11:06:44,35-44,Education (Higher Education),"Assistant Director, Student Affairs",I work with student leadership programs and community service efforts,50000,0.0,USD,,,US,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White,50000.0,11
211,2021-04-27 11:06:50,35-44,Law,Associate Attorney,,125000,0.0,USD,,"I’ve recently started this job so do not know the typical annual bonus amount. Also, I work in a large multinational law firm. Typical entry-level associate attorney salaries vary a lot depending in part on firm size.",United States,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White,125000.0,2
213,2021-04-27 11:06:51,55-64,Law,Attorney,,275000,0.0,USD,,"I own my own firm, so my take home varies wildly year to year. I've put an average over a few years.",United States,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White,275000.0,31
215,2021-04-27 11:06:51,35-44,Engineering or Manufacturing,Software engineer,,139000,9000.0,USD,,,United states,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White,148000.0,11
216,2021-04-27 11:06:53,25-34,Law,Paralegal / Legal Assistant,,54080,500.0,USD,,,United States,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White,54580.0,11
218,2021-04-27 11:06:53,25-34,"Marketing, Advertising & PR",Marketing Manager,,60000,0.0,CAD,,,Canada,,Remote Worker,8 - 10 years,8 - 10 years,College degree,Woman,White,48364.27975511553,8
219,2021-04-27 11:06:54,45-54,Education (Primary/Secondary),Librarian,,70000,1000.0,USD,,,USA,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White,71000.0,11
220,2021-04-27 11:06:56,25-34,Nonprofits,Communications Associate,,53000,0.0,USD,,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,53000.0,2
221,2021-04-27 11:06:58,35-44,Health care,Cytotechnologist,,82160,0.0,USD,,,United States,Wisconsin,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White,82160.0,11
223,2021-04-27 11:06:59,18-24,Engineering or Manufacturing,Graduate Research Assitant,I am a grad student,25700,0.0,USD,,,USA,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",25700.0,5
225,2021-04-27 11:07:00,35-44,Education (Higher Education),"Librarian, non-supervisory",My actual job title is fairly unusual and could narrow down my identity,77000,0.0,USD,,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,77000.0,11
226,2021-04-27 11:07:00,35-44,Health care,Content Strategist,In the marketing department,50000,0.0,USD,,,USA,Arizona,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White,50000.0,5
228,2021-04-27 11:07:03,25-34,Government and Public Administration,Public Service Tech,I deal with FOIA-style requests from the public/media,31616,0.0,USD,,,USA,Georgia,Too identifiable,5-7 years,2 - 4 years,College degree,Non-binary,White,31616.0,2
229,2021-04-27 11:07:05,35-44,Government and Public Administration,EOS,Attorney,95000,2000.0,USD,,,USA,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White,97000.0,8
230,2021-04-27 11:07:05,18-24,Business or Consulting,Data Analyst,,62000,0.0,USD,,,United States,Massachusetts,Braintree,1 year or less,1 year or less,College degree,Woman,White,62000.0,1
232,2021-04-27 11:07:07,25-34,Education (Primary/Secondary),High school teacher,,71000,0.0,USD,,,United States,New York,New York,5-7 years,5-7 years,College degree,Non-binary,White,71000.0,5
233,2021-04-27 11:07:08,45-54,Computing or Tech,Business Analyst,Procurement and contract management,88000,0.0,USD,,,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White,88000.0,11
235,2021-04-27 11:07:08,25-34,Health care,IT Training Specialist,,76000,0.0,USD,,,USA,Massachusetts,Woburn,5-7 years,2 - 4 years,Master's degree,Woman,White,76000.0,2
236,2021-04-27 11:07:08,35-44,Health care,Principal Statistical Programmer,,165000,30000.0,USD,,,USA,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree,Non-binary,White,195000.0,21
237,2021-04-27 11:07:09,25-34,"Accounting, Banking & Finance",Reporting Analyst,Billing coordinator,45760,0.0,USD,,,United States,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin",45760.0,2
238,2021-04-27 11:07:10,25-34,"Marketing, Advertising & PR",Communications Manager,,86000,0.0,USD,,,United States,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White,86000.0,5
239,2021-04-27 11:07:11,25-34,Engineering or Manufacturing,Project Manager,,78240,0.0,CAD,,,Canada,,Calgary,5-7 years,5-7 years,Master's degree,Woman,White,63067.020800670645,5
240,2021-04-27 11:07:12,25-34,Education (Higher Education),Admissions Advisor,,56000,0.0,USD,,,United States,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White,56000.0,5
243,2021-04-27 11:07:13,25-34,Law,Associate,3rd year associate,125000,0.0,USD,,,United states,Tennessee,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White,125000.0,5
245,2021-04-27 11:07:14,35-44,Computing or Tech,Supply chain manager,"Manage a supply chain scope, but no direct reports",125000,50000.0,USD,,Additional comp includes cash bonus goal and RSUs.,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White,175000.0,11
246,2021-04-27 11:07:14,25-34,Health care,RN,,60000,0.0,USD,,,United States,Tennessee,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White,60000.0,2
247,2021-04-27 11:07:17,25-34,Law,Associate,,190000,0.0,USD,,,USA,Massachusetts,Boston,1 year or less,1 year or less,Master's degree,Woman,White,190000.0,1
250,2021-04-27 11:07:18,45-54,Education (Primary/Secondary),teacher,,94000,0.0,USD,,,United States,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White,94000.0,21
251,2021-04-27 11:07:18,25-34,Health care,NP-PHC,,98000,0.0,CAD,,"As per funding models in the province I work in, I am underpaid. This is related to specific grants to run the program I am in and their limits. The max an NP would get through a Family Health Team is 122800 a year",Canada,,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman,White,78994.99026668869,2
252,2021-04-27 11:07:19,35-44,Government and Public Administration,Administrative Assistant,,49000,0.0,USD,,,United States,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White,49000.0,11
253,2021-04-27 11:07:21,35-44,Nonprofits,Director of Development,,120000,0.0,USD,,,United States of America,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White,120000.0,11
254,2021-04-27 11:07:21,25-34,Education (Higher Education),Teaching Assistant,TA as part of a PhD program in the humanities,28000,0.0,USD,,,United States,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White,28000.0,2
256,2021-04-27 11:07:22,35-44,Education (Higher Education),Advancement Accounting Assistant,I process donations for the advancement (fundraising) office. *,40575,0.0,USD,,,USA,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White,40575.0,8
257,2021-04-27 11:07:23,25-34,Nonprofits,Senior monitoring & evaluation adviser,,75500,0.0,USD,,,US,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White,75500.0,8
258,2021-04-27 11:07:23,25-34,"Marketing, Advertising & PR",Copy supervisor,Pharmaceutical advertising,115000,12000.0,USD,,,US,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White,127000.0,5
259,2021-04-27 11:07:24,35-44,Government and Public Administration,Policy analyst,Environmental policy position with a federal agency,70000,0.0,USD,,,USA,Massachusetts,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White,70000.0,5
260,2021-04-27 11:07:24,25-34,Computing or Tech,Visual Designer,,110000,1400.0,USD,,"Additional monetary income is the total yearly amount for our wfh, food, and wellness stipends",United States,Illinois,Chicago (remote),5-7 years,5-7 years,College degree,Woman,White,111400.0,5
262,2021-04-27 11:07:27,55-64,"Marketing, Advertising & PR",Graphic Designer,,61000,0.0,USD,,,USA,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White,61000.0,31
263,2021-04-27 11:07:27,55-64,Nonprofits,Information Technology Specialist,"I do 50% communications (social media, website back end work) and 50% special projects (database admin, etc.)",47250,0.0,USD,,,USA,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman,White,47250.0,5
264,2021-04-27 11:07:28,35-44,Engineering or Manufacturing,Sr. Piping Designer,,96000,4000.0,USD,,,USA,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man,White,100000.0,11
265,2021-04-27 11:07:28,35-44,Computing or Tech,Network Managet,,260000,0.0,EUR,,,Germany,,Düsseldorf,21 - 30 years,11 - 20 years,High School,Non-binary,White,314326.6458324518,11
266,2021-04-27 11:07:28,35-44,Nonprofits,Digital Marketing Specialist,,45000,0.0,USD,,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White,45000.0,11
268,2021-04-27 11:07:30,25-34,Government and Public Administration,Editor,,78167,0.0,USD,,,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White,78167.0,5
269,2021-04-27 11:07:32,25-34,"Accounting, Banking & Finance",Senior Operations Manager,,132500,55000.0,USD,,"Bonus amount approximated, can vary",United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White,187500.0,8
270,2021-04-27 11:07:32,45-54,Computing or Tech,"IT Manager, Financial Systems",,124000,0.0,USD,,,US,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White,124000.0,21
